IATA,id,name,city,country,ICAO,latitude,longitude,altitude,timezone,dst,tz,type,source,CRIMINAL ACTORS (AVERAGE),MAFIA-STYLE GROUPS,CRIMINAL NETWORKS,STATE-EMBEDDED ACTORS,FOREIGN ACTORS,CRIMINAL MARKETS (AVERAGE),HUMAN TRAFFICKING,HUMAN SMUGGLING,ARMS TRAFFICKING,FLORA CRIMES,FAUNA CRIMES,"NON-RENEWABLE
NON-RENEWABLE RESOURCE CRIMES",HEROIN TRADE,COCAINE TRADE,CANNABIS TRADE,SYNTHETIC DRUG TRADE,RESILIENCE (AVERAGE),POLITICAL LEADERSHIP AND GOVERNANCE,GOVERNMENT TRANSPARENCY AND ACCOUNTABILITY,INTERNATIONAL COOPERATION,NATIONAL POLICIES AND LAWS,JUDICIAL SYSTEM AND DETENTION,LAW ENFORCEMENT,TERRITORIAL INTEGRITY,ANTI-MONEY LAUNDERING SYSTEMS,ECONOMIC REGULATORY CAPACITY,VICTIM AND WITNESS SUPPORT,PREVENTION,NON-STATE ACTORS,population,in_cites_2021,in_cites_2016,in_cites_2017,in_cites_2018,in_cites_2019,in_cites_2020,degree_full,between_full,close_full,eigen_full,pr_full,degree_in_full,degree_out_full,origin_count,transit_count,destination_count,seizure_count,incident_counts,binary_incident_observed,binary_origin_observed,binary_destination_observed,binary_transit_observed
LYI,6385,Shubuling Airport,Linyi,china,ZSLY,35.04610061645508,118.41200256347656,0,8,U,Asia/Shanghai,airport,OurAirports,6.13,7,7.5,7,3,5.9,6.5,6,2.5,8.5,9,4.5,6.5,3.5,4,8,5.46,6,4,6,7,5,5.5,7,6,7,4,6,2,10667100,1,1,1,1,1,0,0.002070393,0,0.09123343,0.005423716,0.000514541,0.002070393,0,0,0,0,1,1,1,0,0,0
NTG,5475,Nantong Airport,Nantong,china,,32.0708,120.976,0,8,U,Asia/Shanghai,airport,User,6.13,7,7.5,7,3,5.9,6.5,6,2.5,8.5,9,4.5,6.5,3.5,4,8,5.46,6,4,6,7,5,5.5,7,6,7,4,6,2,7282835,1,1,1,1,1,0,0.002587992,0,0.095541771,0.008441373,0.000468232,0.002587992,0,0,0,1,0,1,1,0,1,0
YVR,156,Vancouver International Airport,Vancouver,canada,CYVR,49.19390106,-123.1839981,14,-8,A,America/Vancouver,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,631486,1,1,0,1,0,0,0.038302277432712216,0.004807431,0.11148363547164146,0.017724674,0.000641151,0.008799172,0.029503105590062115,3,0,0,0,3,1,1,0,0
YBP,4110,Yibin Caiba Airport,Yibin,china,ZUYB,28.80055556,104.545,924,8,U,Asia/Shanghai,airport,OurAirports,6.13,7,7.5,7,3,5.9,6.5,6,2.5,8.5,9,4.5,6.5,3.5,4,8,5.46,6,4,6,7,5,5.5,7,6,7,4,6,2,4471896,1,1,1,1,1,0,0.001035197,0,0.093458636,0.004293774,0.000277391,0.001035197,0,0,0,0,0,0,0,0,0,0
UYN,6368,Yulin Yuyang Airport,Yulin,china,ZLYL,38.35971,109.590927,0,8,U,Asia/Shanghai,airport,OurAirports,6.13,7,7.5,7,3,5.9,6.5,6,2.5,8.5,9,4.5,6.5,3.5,4,8,5.46,6,4,6,7,5,5.5,7,6,7,4,6,2,5849700,1,1,1,1,1,0,0.000517598,0,0.078248474,0.000739836,0.000259104,0.000517598,0,0,0,0,0,0,0,0,0,0
LAS,3877,McCarran International Airport,Las Vegas,united states,KLAS,36.08010101,-115.1520004,2181,-8,A,America/Los_Angeles,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,644644,1,1,1,0,0,0,0.066770186,0.002701011,0.10935645422239938,0.015989439375539337,0.000371508,0.008281573,0.058488613,0,0,0,0,0,0,0,0,0
LAX,3484,Los Angeles International Airport,Los Angeles,united states,KLAX,33.94250107,-118.4079971,125,-8,A,America/Los_Angeles,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,3990456,1,1,1,0,0,0,0.079710145,0.013450151095819452,0.12008380163659667,0.029664555,0.000517761,0.017080745341614908,0.0626294,1,1,3,4,6,1,1,1,1
CAI,1128,Cairo International Airport,Cairo,egypt,HECA,30.12190055847168,31.40559959411621,382,2,U,Africa/Cairo,airport,OurAirports,5.38,3,5.5,8,5,4.95,5.5,5.5,7,1,5,4,5.5,2,7,7,4.04,3.5,3,4.5,4.5,3.5,5,6,6,4.5,3,2.5,2.5,9539673,1,0,0,0,0,0,0.039337474120082816,0.002987379,0.11426188646889578,0.016031631,0.000646878,0.010351966873706004,0.028985507246376815,9,3,0,4,15,1,1,0,1
TLV,1590,Ben Gurion International Airport,Tel-aviv,israel,LLBG,32.01139831542969,34.88669967651367,135,2,E,Asia/Jerusalem,airport,OurAirports,4.63,5.5,4,5,4,4.2,5.5,2.5,5.5,1.5,2,5.5,3,4.5,6.5,5.5,6,6,5,6,7,5,5.5,3.5,7,7,6,6,8,410000,1,0,1,0,0,0,0.038302277432712216,0.001268722,0.11594298089050713,0.020646341651741267,0.000455169,0.012939958592132506,0.025362318840579712,0,1,2,2,3,1,0,1,1
EYK,8428,Beloyarskiy Airport,Beloyarsky,russia,USHY,63.686901,66.698601,82,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,19542,1,0,0,0,0,0,0.001552795,6.701169648955208e-07,0.070341976,7.942665056903892e-05,0.000254105,0.000517598,0.001035197,0,0,0,0,0,0,0,0,0
VKO,2988,Vnukovo International Airport,Moscow,russia,UUWW,55.59149933,37.26150131,685,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,11979529,1,0,0,0,0,0,0.034679089,0.003863698,0.099399284,0.006080201,0.000664793,0.007763975,0.026915113871635612,0,0,0,0,0,0,0,0,0
NCU,6151,Nukus Airport,Nukus,uzbekistan,UTNN,42.488399505615234,59.62329864501953,246,5,U,Asia/Samarkand,airport,OurAirports,5.38,5,4.5,7,5,4.55,7.5,6,3,3,3.5,6.5,6.5,1.5,4,4,3.79,3,3,4,4,3,3.5,4.5,3.5,4.5,4,5,3.5,312100,1,1,1,1,1,1,0.001035197,0,0.086718014,0.001129169,0.000250921,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
TJM,4111,Roshchino International Airport,Tyumen,russia,USTR,57.1896019,65.32430267,378,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,581758,1,0,0,0,0,0,0.008281573,0.000264859,0.087258126,0.001481197,0.000450875,0.00310559,0.005175983,0,0,0,0,0,0,0,0,0
UFA,2992,Ufa International Airport,Ufa,russia,UWUU,54.55749893,55.87440109,449,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1062319,1,0,0,0,0,0,0.00931677,7.388846495228278e-05,0.087288329,0.001558476,0.000361088,0.003623188,0.005693582,0,0,0,0,0,0,0,0,0
NYM,6143,Nadym Airport,Nadym,russia,USMM,65.48090362548828,72.69889831542969,49,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,44594,1,0,0,0,0,0,0.002587992,0,0.091332275,0.001665441,0.000335318,0.002587992,0,0,0,0,0,0,0,0,0,0
OVS,6140,Sovetskiy Airport,Sovetskiy,russia,USHS,61.326622009277344,63.60191345214844,351,5,N,Asia/Yekaterinburg,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,1280,1,0,0,0,0,0,0.000517598,0,0.070445423,7.942665056903892e-05,0.000254105,0.000517598,0,0,0,0,0,0,0,0,0,0
UCT,4368,Ukhta Airport,Ukhta,russia,UUYH,63.56689834594727,53.80469894,482,3,N,Europe/Moscow,airport,OurAirports,6.38,4.5,7.5,8.5,5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,4.04,4,3,4.5,5.5,4,4.5,5.5,4,4,2.5,3.5,3.5,103541,1,0,0,0,0,0,0.001035197,0,0.081239662,0.000390947,0.000262846,0.001035197,0,0,0,0,0,0,0,0,0,0
DAC,3076,Hazrat Shahjalal International Airport,Dhaka,bangladesh,VGZR,23.843347,90.397783,30,6,U,Asia/Dhaka,airport,OurAirports,5,5.5,5.5,7,2,4.95,8,6,5,4,5,3.5,4.5,3,4,6.5,4.13,3.5,4,5.5,5,3,4,5,4.5,3.5,3.5,4,4,8906039,1,1,0,0,0,0,0.014492753623188408,0.000668556,0.1047677538167233,0.008629004,0.00036484,0.004140787,0.010351966873706004,0,0,1,2,2,1,0,1,0
CCU,3043,Netaji Subhash Chandra Bose International Airport,Kolkata,india,VECC,22.654699325561523,88.44670104980469,16,5.5,N,Asia/Calcutta,airport,OurAirports,4.75,3.5,6,6,3.5,5,5.5,5.5,5,4,5,4.5,5,5.5,5,5.5,5.25,4,5.5,7.5,4.5,5,5.5,6.5,6,5,3.5,5,5,4496694,1,1,1,1,1,0,0.017598343685300208,0.001339456,0.10046851929755099,0.004267309,0.00054941,0.00310559,0.014492753623188408,0,2,1,3,3,1,0,1,1
CGP,3069,Shah Amanat International Airport,Chittagong,bangladesh,VGEG,22.24959945678711,91.81330108642578,12,6,U,Asia/Dhaka,airport,OurAirports,5,5.5,5.5,7,2,4.95,8,6,5,4,5,3.5,4.5,3,4,6.5,4.13,3.5,4,5.5,5,3,4,5,4.5,3.5,3.5,4,4,8440000,1,1,0,0,0,0,0.003623188,4.1699468859412326e-06,0.088296913,0.001245887,0.000286291,0.002070393,0.001552795,0,0,0,0,0,0,0,0,0
MCT,2194,Muscat International Airport,Muscat,oman,OOMS,23.593299865722656,58.284400939941406,48,4,U,Asia/Muscat,airport,OurAirports,3.38,1,5,4,3.5,4.9,6,4,5,5,5,5.5,5,3,4.5,6,5.25,4.5,4.5,6.5,6.5,5.5,7.5,5.5,5,4.5,4,4,5,76344,1,0,0,0,0,0,0.025879917184265012,0.000667144,0.096619151,0.004728839,0.000385948,0.004658385,0.021221532,0,0,0,0,0,0,0,0,0
CXB,3068,Cox's Bazar Airport,Cox's Bazar,bangladesh,VGCB,21.45219993591309,91.96389770507812,12,6,U,Asia/Dhaka,airport,OurAirports,5,5.5,5.5,7,2,4.95,8,6,5,4,5,3.5,4.5,3,4,6.5,4.13,3.5,4,5.5,5,3,4,5,4.5,3.5,3.5,4,4,223522,1,1,0,0,0,0,0.000517598,0,0.081422752,0.00043227,0.00026232,0.000517598,0,0,0,0,0,0,0,0,0,0
KTM,3125,Tribhuvan International Airport,Kathmandu,nepal,VNKT,27.6966,85.3591,4390,5.75,N,Asia/Katmandu,airport,OurAirports,6.63,4.5,6.5,8.5,7,5.7,7,6.5,6,7,7,6.5,4.5,3.5,5,4,3.71,2.5,2,4.5,3.5,3,4.5,4,3,4.5,4.5,3.5,5,1442300,1,1,1,0,0,0,0.013975155279503106,0.001552268,0.10671857106934109,0.011681700944572595,0.000385898,0.005693582,0.008281573,0,1,0,2,2,1,0,0,1
ZYL,3074,Osmany International Airport,Sylhet Osmani,bangladesh,VGSY,24.96319961547852,91.8667984,50,6,U,Asia/Dhaka,airport,OurAirports,5,5.5,5.5,7,2,4.95,8,6,5,4,5,3.5,4.5,3,4,6.5,4.13,3.5,4,5.5,5,3,4,5,4.5,3.5,3.5,4,4,500000,1,1,0,0,0,0,0.001035197,0,0.088210348,0.000935484,0.00026595,0.001035197,0,0,0,0,0,0,0,0,0,0
DFW,3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,united states,KDFW,32.896801,-97.038002,607,-6,A,America/Chicago,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,6475000,1,1,1,0,0,0,0.083850932,0.005720903,0.11303271332893455,0.018273660743953903,0.000499755,0.012939958592132506,0.070910973,0,0,0,0,0,0,0,0,0
EZE,3988,Ministro Pistarini International Airport,Buenos Aires,argentina,SAEZ,-34.8222,-58.5358,67,-3,N,America/Buenos_Aires,airport,OurAirports,5,4,6,5,5,3.75,4,3,3,3,3.5,3,2,6.5,6.5,3,6.33,7,5,6,7,6,6.5,6,7,6,6,5.5,8,2891082,1,0,1,0,0,0,0.019668737060041408,0.001506439,0.1009915832746708,0.004938009,0.000351144,0.005175983,0.014492753623188408,0,0,0,0,0,0,0,0,0
JFK,3797,John F Kennedy International Airport,New York,united states,KJFK,40.63980103,-73.77890015,13,-5,A,America/New_York,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,8398748,1,1,1,0,0,0,0.083333333,0.009463854,0.12295269792143003,0.032009594,0.001030961,0.026915113871635612,0.056418219,0,3,8,14,18,1,0,1,1
MIA,3576,Miami International Airport,Miami,united states,KMIA,25.79319953918457,-80.29060364,8,-5,A,America/New_York,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,470914,1,1,1,0,0,0,0.067805383,0.014283236308221233,0.11379782646067373,0.018460595343250334,0.001327386,0.021221532,0.046583851,2,5,0,7,10,1,1,0,1
PUJ,1760,Punta Cana International Airport,Punta Cana,dominican republic,MDPC,18.56739998,-68.36340332,47,-4,U,America/Santo_Domingo,airport,OurAirports,5,5,5.5,5.5,4,5.3,6,6,4,4.5,4,4.5,6.5,8,5,4.5,4.67,5,3,7,5,4,4.5,5.5,4,5,4,4,5,43982,1,0,0,0,0,0,0.018633540372670808,0.000159195,0.10758361068125127,0.010589169897451331,0.00033819,0.008799172,0.009834369,0,0,0,0,0,0,0,0,0
YEG,49,Edmonton International Airport,Edmonton,canada,CYEG,53.30970001,-113.5800018,2373,-7,A,America/Edmonton,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,932546,1,1,0,1,0,0,0.017080745341614908,0.000543301,0.10832301694022894,0.012871075136507471,0.000360152,0.004658385,0.012422360248447206,0,0,0,0,0,0,0,0,0
YXY,176,Whitehorse / Erik Nielsen International Airport,Whitehorse,canada,CYXY,60.70959854,-135.0670013,2317,-8,A,America/Vancouver,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,25085,1,1,0,1,0,0,0.001552795,4.134174924474282e-06,0.085252192,0.000887932,0.000256383,0.000517598,0.001035197,0,0,0,0,0,0,0,0,0
YLW,87,Kelowna International Airport,Kelowna,canada,CYLW,49.95610046,-119.3779984,1421,-8,A,America/Vancouver,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,142146,1,1,0,1,0,0,0.005693582,0.000145618,0.10609002248079638,0.010154003513183484,0.000314958,0.002587992,0.00310559,0,0,0,0,0,0,0,0,0
YOW,100,Ottawa Macdonald-Cartier International Airport,Ottawa,canada,CYOW,45.32249832,-75.66919708,374,-5,A,America/Toronto,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,934243,1,1,0,1,0,0,0.011387163561076606,8.093913837137511e-05,0.10699023480562284,0.010177246,0.000357796,0.003623188,0.007763975,0,0,0,0,0,0,0,0,0
YZF,196,Yellowknife Airport,Yellowknife,canada,CYZF,62.462799072265625,-114.4400024,675,-7,A,America/Edmonton,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,19569,1,1,0,1,0,0,0.001552795,0,0.085757568,0.001570693,0.000380011,0.001552795,0,0,0,0,0,0,0,0,0,0
YYC,178,Calgary International Airport,Calgary,canada,CYYC,51.11389923,-114.0199966,3557,-7,A,America/Edmonton,airport,OurAirports,3.88,5,4,2,4.5,3.45,3.5,4,2.5,2,3,3,5,3.5,3,5,7.25,7.5,7,8,8,7,7,6,6.5,7.5,8.5,6,8,1239220,1,1,0,1,0,0,0.027432712215320912,0.0021172,0.11197867825792762,0.017595227644818343,0.000509457,0.007763975,0.019668737060041408,0,0,0,0,0,0,0,0,0
ACA,1783,General Juan N Alvarez International Airport,Acapulco,mexico,MMAA,16.757099151611328,-99.7539978,16,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,687608,1,1,1,0,0,0,0.002587992,9.320009681176343e-08,0.084311596,0.000678792,0.000256908,0.000517598,0.002070393,1,0,0,0,1,1,1,0,0
MEX,1824,Licenciado Benito Juarez International Airport,Mexico City,mexico,MMMX,19.4363,-99.072098,7316,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,9209944,1,1,1,0,0,0,0.049689441,0.009800288,0.10992850193411204,0.013549786,0.000877154,0.011387163561076606,0.038302277432712216,10,4,3,16,23,1,1,1,1
TLC,1850,Licenciado Adolfo Lopez Mateos International Airport,Toluca,mexico,MMTO,19.33709908,-99.56600189,8466,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,910608,1,1,1,0,0,0,0.001035197,0,0.084058661,0.000801037,0.000249622,0.000517598,0.000517598,0,0,0,0,0,0,0,0,0
AGU,1785,Jesús Terán Paredo International Airport,Aguascalientes,mexico,MMAS,21.705601,-102.318001,6112,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,1312544,1,1,1,0,0,0,0.004658385,0.004881957,0.097065429,0.003595882,0.000596162,0.002070393,0.002587992,0,1,0,0,1,1,0,0,1
CEN,1794,Ciudad Obregón International Airport,Ciudad Obregon,mexico,MMCN,27.39259910583496,-109.8330002,243,-7,S,America/Hermosillo,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,405000,1,1,1,0,0,0,0.002070393,0,0.084339794,0.000678792,0.000256908,0.000517598,0.001552795,0,0,0,0,0,0,0,0,0
CJS,1796,Abraham González International Airport,Ciudad Juarez,mexico,MMCS,31.63610076904297,-106.4290009,3904,-7,S,America/Mazatlan,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,1321004,1,1,1,0,0,0,0.00310559,4.465319077192692e-07,0.085079617,0.000822964,0.000297674,0.001035197,0.002070393,0,1,2,4,5,1,0,1,1
CME,1789,Ciudad del Carmen International Airport,Ciudad Del Carmen,mexico,MMCE,18.65369987487793,-91.7990036,10,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,221094,1,1,1,0,0,0,0.000517598,0,0.084496849,0.000678792,0.000256908,0.000517598,0,0,0,0,0,0,0,0,0,0
CPE,1795,Ingeniero Alberto Acuña Ongay International Airport,Campeche,mexico,MMCP,19.816799163800003,-90.50029755,34,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,928363,1,1,1,0,0,0,0.000517598,0,0.084496849,0.000678792,0.000256908,0.000517598,0,0,0,0,0,0,0,0,0,0
CTM,1793,Chetumal International Airport,Chetumal,mexico,MMCM,18.50469970703125,-88.32679749,39,-5,S,America/Cancun,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,169028,1,1,1,0,0,0,0.000517598,0,0.084496849,0.000678792,0.000256908,0.000517598,0,0,0,0,0,0,0,0,0,0
CUL,1792,Bachigualato Federal International Airport,Culiacan,mexico,MMCL,24.76449966,-107.4749985,108,-7,S,America/Mazatlan,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,605304,1,1,1,0,0,0,0.003623188,0,0.084339794,0.000678792,0.000256908,0.000517598,0.00310559,0,0,0,0,0,0,0,0,0
CUN,1852,Cancún International Airport,Cancun,mexico,MMUN,21.036500930800003,-86.87709808,22,-5,S,America/Cancun,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,888797,1,1,1,0,0,0,0.038302277432712216,0.005987533,0.10804455160105098,0.013791540337337056,0.00048801,0.010869565217391306,0.027432712215320912,1,0,0,2,2,1,1,0,0
MTY,1825,General Mariano Escobedo International Airport,Monterrey,mexico,MMMY,25.7784996,-100.1070023,1278,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,1109171,1,1,1,0,0,0,0.017598343685300208,0.005499805,0.097065429,0.005250397,0.001076128,0.00621118,0.011387163561076606,1,1,2,2,3,1,1,1,1
CUU,1797,General Roberto Fierro Villalobos International Airport,Chihuahua,mexico,MMCU,28.702899932900003,-105.9649963,4462,-7,S,America/Mazatlan,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,3741869,1,1,1,0,0,0,0.004658385,4.647597600288902e-06,0.092814127,0.002548208,0.000309462,0.002070393,0.002587992,0,0,0,1,1,1,0,0,0
CZM,1800,Cozumel International Airport,Cozumel,mexico,MMCZ,20.52239990234375,-86.92559814,15,-5,S,America/Cancun,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,100000,1,1,1,0,0,0,0.003623188,0,0.094447934,0.003991745,0.000282536,0.002587992,0.001035197,0,0,0,0,0,0,0,0,0
GDL,1804,Don Miguel Hidalgo Y Costilla International Airport,Guadalajara,mexico,MMGL,20.52179908752441,-103.310997,5016,-6,S,America/Mexico_City,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,1460148,1,1,1,0,0,0,0.020703933747412008,0.000548546,0.09920377,0.006391385,0.000545945,0.00621118,0.014492753623188408,1,0,0,1,1,1,1,0,0
SAT,3621,San Antonio International Airport,San Antonio,united states,KSAT,29.533700942993164,-98.46980286,809,-6,A,America/Chicago,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,1532233,1,1,1,0,0,0,0.018115942028985508,0.00038819,0.10818360507801501,0.015016914196880565,0.000373622,0.007246377,0.010869565217391306,0,0,0,0,0,0,0,0,0
SJD,1840,Los Cabos International Airport,San Jose Del Cabo,mexico,MMSD,23.15180015563965,-109.7210007,374,-7,S,America/Mazatlan,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,136285,1,1,1,0,0,0,0.010351966873706004,0.000381944,0.10003014019708567,0.006786106,0.000384076,0.005175983,0.005175983,0,0,0,0,0,0,0,0,0
SNA,3867,John Wayne Airport-Orange County Airport,Santa Ana,united states,KSNA,33.67570114,-117.8679962,56,-8,A,America/Los_Angeles,airport,OurAirports,5.5,5,6.5,5,5.5,5.5,5.5,4.5,6.5,2.5,5.5,4.5,6.5,7,5,7.5,6.58,4.5,5.5,7,6.5,6,8,6.5,6.5,8,7,6,7.5,332725,1,1,1,0,0,0,0.011387163561076606,3.457847077948629e-05,0.10386160767580437,0.010730751,0.000341728,0.004658385,0.006728778,0,0,0,0,0,0,0,0,0
TIJ,1847,General Abelardo L. Rodríguez International Airport,Tijuana,mexico,MMTJ,32.541099548339844,-116.9700012,489,-8,S,America/Tijuana,airport,OurAirports,7.13,9,9,7,3.5,8,7.5,8.5,8,7.5,7,7.5,8,9,8,9,4.46,3,4,7,6,4,5,3,4,5,3.5,4,5,1300983,1,1,1,0,0,0,0.017598343685300208,0.003533571,0.089265835,0.003182266,0.001143796,0.007246377,0.010351966873706004,0,2,4,9,10,1,0,1,1
GUA,1767,La Aurora Airport,Guatemala City,guatemala,MGGT,14.5833,-90.527496,4952,-6,U,America/Guatemala,airport,OurAirports,7,7.5,6,7,7.5,5.95,6.5,7,7,4,4,2.5,7.5,8.5,6.5,6,4.42,3.5,4,5.5,5.5,4,5,3.5,5,4,4,4,5,995393,1,0,0,0,0,0,0.009834369,0.000187443,0.098776335,0.006938082,0.000301763,0.004140787,0.005693582,0,0,0,0,0,0,0,0,0
HAV,1909,José Martí International Airport,Havana,cuba,MUHA,22.989200592041016,-82.40910339,210,-5,U,America/Havana,airport,OurAirports,2.88,4,2.5,4,1,4,6,6,1.5,4,3,4,2.5,4,5,4,5.38,6.5,2.5,6.5,6,3,7,8,5.5,5.5,4,7,3,2130517,1,0,0,0,0,0,0.00931677,0.000102463,0.099320986,0.003795574,0.000331081,0.004658385,0.004658385,1,0,0,1,1,1,1,0,0
